x y
0.0295351 0.999564 
0.734636 0.678462 
0.61446 0.788948 
0.536537 0.843877 
-0.717283 0.696782 
-0.638477 0.769641 
-0.662486 0.749075 
-0.0951364 0.995464 
-0.884678 0.466202 
-0.956689 -0.29111 
-0.950732 0.310013 
-0.925692 0.378277 
-0.628413 0.77788 
-0.743796 0.668407 
0.143571 0.98964 
0.241209 0.970473 
0.788903 -0.614518 
0.981132 -0.193338 
0.507217 -0.861818 
0.869104 -0.494629 
0.28458 -0.958652 
-0.0538574 -0.998549 
0.57483 -0.818273 
0.916118 -0.400908 
0.911124 0.412131 
0.267954 0.963432 
-0.645644 0.763638 
-0.917887 0.396842 
-0.906743 -0.421683 
-0.761832 -0.647774 
-0.518987 -0.854782 
-0.16896 -0.985623 
-0.861477 -0.507796 
-0.451071 0.892488 
0.0295351 0.999564 
